customerID,support_tickets_90d,support_ticket_escalations_90d,app_logins_30d,days_since_last_login,avg_daily_usage_gb,data_overage_events_90d,payment_failures_12m,nps_score,discount_offers_accepted_12m,plan_change_count_12m
7018-WBJNK,3,1,13,8,6.84,3,2,4,0,0
9142-KZXOP,2,0,8,11,3.83,2,0,4,1,2
7674-YTAFD,2,0,11,39,8.88,4,2,4,2,2
6348-SNFUS,1,0,23,9,6.26,2,0,8,1,2
1285-OKIPP,8,2,6,23,12.32,3,1,4,1,1
7825-ECJRF,4,0,5,33,10.63,2,0,5,1,4
1347-KTTTA,4,0,13,89,10.32,2,1,9,0,1
7841-TZDMQ,5,4,11,8,9.15,3,2,3,3,1
4195-NZGTA,5,4,14,19,5.33,1,0,7,1,1
7157-SMCFK,2,1,12,7,10.78,1,3,5,1,2
4709-LKHYG,3,1,8,23,9.46,3,1,6,0,2
2504-DSHIH,4,0,15,1,4.35,2,0,5,1,0
0699-NDKJM,5,0,9,17,8.92,2,0,5,0,2
9286-BHDQG,1,0,11,4,8.69,2,3,6,1,1
0230-WEQUW,3,0,13,7,7.27,5,0,3,1,0
2040-LDIWQ,2,1,11,7,4.38,1,0,7,2,1
6496-JDSSB,6,0,8,7,7.27,2,1,4,4,1
9408-SSNVZ,5,4,8,8,10.29,3,0,3,5,1
4443-EMBNA,3,1,6,8,5.73,2,2,6,1,3
6469-MRVET,2,0,11,45,9.05,3,1,7,0,0
0742-MOABM,7,4,6,90,6.61,4,1,4,4,1
5961-VUSRV,4,2,11,14,7.65,2,0,5,1,0
6778-JFCMK,4,1,9,56,11.2,1,2,3,1,2
6341-JVQGF,1,0,9,7,9.58,4,0,6,2,2
2232-DMLXU,2,1,4,2,12.83,3,3,5,4,2
4811-JBUVU,4,1,15,15,7.2,2,1,4,0,0
0945-TSONX,4,1,10,25,7.37,3,2,7,5,1
2651-ZCBXV,0,0,10,8,5.74,1,0,7,2,1
3316-UWXUY,7,3,12,13,6.73,1,2,7,0,1
8937-RDTHP,5,1,4,13,10.93,1,1,2,3,6
7083-MIOPC,4,4,11,1,5.75,2,2,7,1,1
1984-GPTEH,3,0,10,23,9.13,3,0,5,2,1
1251-KRREG,4,3,4,90,10.83,4,1,2,3,1
0621-JFHOL,3,0,17,13,3.72,2,1,6,1,0
9903-LYSAB,4,2,9,40,10.0,2,2,5,2,1
0094-OIFMO,5,3,4,5,14.1,4,3,4,2,4
9227-UAQFT,2,0,12,1,8.73,2,1,6,1,0
7301-ABVAD,3,0,21,21,2.67,0,2,6,2,2
6614-FHDBO,0,1,22,19,12.0,0,3,5,4,0
7576-ASEJU,1,1,14,14,1.8,3,0,5,0,0
9058-HRZSV,4,2,11,10,3.92,1,2,3,0,0
4522-AKYLR,2,0,6,0,5.34,3,0,2,1,0
0221-WMXNQ,6,0,10,3,7.14,5,1,3,2,0
0303-UNCIP,2,0,18,6,2.67,3,1,9,1,0
9947-OTFQU,4,2,11,90,5.46,0,1,4,0,1
0322-YINQP,5,1,8,23,8.56,1,2,4,4,4
0959-WHOKV,3,0,9,5,5.57,1,2,6,1,0
4075-JFPGR,0,1,7,1,6.79,1,0,5,1,0
4629-NRXKX,4,2,4,19,10.85,4,1,3,3,1
9514-JDSKI,5,3,7,8,12.86,3,2,0,6,2
3282-ZISZV,2,1,12,34,6.56,1,1,5,0,2
3675-YDUPJ,3,1,12,15,8.44,5,0,4,2,0
4111-BNXIF,2,0,10,7,7.03,2,1,2,1,0
7017-VFHAY,2,1,7,6,9.86,3,3,6,2,1
6655-LHBYW,5,3,7,1,10.2,5,2,5,2,1
4959-JOSRX,4,0,5,63,8.66,4,1,5,0,0
5046-NUHWD,2,0,14,61,4.53,0,0,7,0,0
7273-TEFQD,7,2,4,14,8.69,1,2,6,3,1
3606-TWKGI,7,1,4,66,8.94,3,0,5,2,0
7529-ZDFXI,8,1,8,29,7.73,1,1,5,0,0
7605-BDWDC,2,0,13,26,6.86,3,0,6,2,1
1950-KSVVJ,4,1,16,6,7.18,2,1,4,1,1
0123-CRBRT,5,0,13,3,5.01,1,2,7,2,0
6292-TOSSS,4,2,10,85,6.64,1,2,4,0,1
3197-ARFOY,0,0,9,8,8.73,5,1,5,3,2
6323-AYBRX,9,3,6,82,12.81,4,4,3,2,2
7014-ZZXAW,3,1,16,17,5.82,1,3,6,2,2
4385-GZQXV,5,2,7,90,9.81,1,1,1,1,0
7633-MVPUY,2,1,21,15,7.15,2,0,5,1,3
6366-ZGQGL,8,5,2,10,8.79,3,6,3,1,2
4716-HHKQH,5,3,4,65,7.97,1,1,6,2,0
5940-AHUHD,3,2,4,32,6.17,3,6,5,6,1
6432-TWQLB,4,2,2,56,10.77,6,3,2,3,1
4484-GLZOU,2,1,7,26,11.16,3,2,5,0,0
3179-GBRWV,5,1,14,15,6.32,2,1,5,0,1
8645-KWHJO,6,2,13,90,9.36,2,1,4,2,1
4130-MZLCC,4,3,15,27,4.31,1,1,5,2,2
0314-TKOSI,0,0,13,4,10.84,2,4,6,1,1
8229-MYEJZ,2,0,13,36,5.42,0,1,4,1,1
2080-SRCDE,3,1,9,7,7.59,1,4,5,1,0
9577-WJVCQ,6,1,11,46,9.49,1,2,5,2,1
9512-UIBFX,4,1,6,12,6.9,4,2,2,0,1
6202-DYYFX,4,1,6,22,6.25,4,0,4,2,1
3808-HFKDE,6,4,8,14,6.49,5,0,5,2,1
5583-SXDAG,4,1,6,90,10.95,2,4,4,2,2
3488-PGMQJ,3,3,5,90,7.97,6,2,1,2,2
3580-REOAC,0,1,10,48,11.34,3,4,1,1,1
7534-BFESC,8,2,3,11,10.37,1,4,2,0,0
3727-OWVYD,4,0,14,9,4.06,1,2,6,0,1
2294-SALNE,5,3,12,22,9.84,6,1,5,0,3
4847-TAJYI,3,1,18,14,10.71,1,3,6,1,1
1563-IWQEX,7,1,14,24,5.7,4,1,3,3,0
8203-XJZRC,2,1,11,8,6.74,1,3,5,1,2
6556-DBKZF,2,0,16,15,5.03,1,2,2,0,0
6851-WEFYX,3,1,9,55,7.85,3,0,5,2,0
2985-JUUBZ,2,0,9,12,9.02,2,1,7,2,0
6390-DSAZX,4,1,2,90,8.51,3,3,0,1,3
0895-LMRSF,2,0,10,7,6.17,3,1,2,1,1
8098-LLAZX,6,2,5,11,12.37,2,2,2,2,3
8266-VBFQL,4,1,6,1,6.98,3,4,3,1,2
8181-YHCMF,2,1,9,16,5.38,0,1,6,0,1
2240-HSJQD,3,1,8,12,7.32,3,0,7,2,1
1248-DYXUB,1,0,17,2,3.02,1,1,6,2,1
0265-EDXBD,6,4,5,34,8.18,4,2,1,1,1
4115-BNPJY,2,1,13,10,11.53,0,1,0,2,1
3167-SNQPL,5,0,14,33,9.82,2,4,6,2,3
4091-TVOCN,0,0,8,7,9.16,1,0,4,2,1
1098-TDVUQ,3,1,7,66,9.5,4,2,6,1,2
7277-OZCGZ,2,1,22,16,9.54,5,4,5,4,4
1557-EMYVT,2,2,7,15,7.41,2,1,4,0,0
2799-ARNLO,4,0,9,84,8.3,3,2,3,3,0
7563-BIUPC,6,1,8,25,10.64,4,2,4,3,0
5027-YOCXN,1,1,16,21,6.26,2,2,7,1,1
3973-SKMLN,3,2,9,7,9.66,2,1,7,0,2
2321-OMBXY,5,2,6,30,6.38,1,1,4,1,1
2840-XANRC,4,2,7,86,9.3,5,1,3,0,5
6745-JEFZB,2,1,6,27,9.5,1,3,7,4,1
5020-ZSTTY,9,3,12,19,11.86,5,2,2,2,0
9880-TDQAC,2,1,11,11,6.12,1,2,7,1,2
8705-WZCYL,2,2,9,0,9.08,2,0,3,2,2
7102-JJVTX,1,0,9,2,8.25,3,2,6,4,4
8626-PTQGE,0,0,7,22,12.28,3,2,6,3,2
4983-CLMLV,3,2,12,35,6.56,2,2,5,4,1
5701-YVSVF,1,0,15,52,7.94,2,2,6,3,1
5804-LEPIM,4,0,7,25,9.09,5,2,3,3,2
5697-GOMBF,1,0,15,30,10.41,3,0,5,3,2
2739-CACDQ,0,0,9,23,7.53,3,4,4,1,2
9385-EHGDO,0,0,7,10,6.67,0,3,5,0,1
9498-FIMXL,2,1,9,10,9.07,3,1,5,1,0
2379-GYFLQ,2,0,10,4,5.45,0,0,6,1,1
0122-OAHPZ,1,0,5,79,10.25,5,2,4,2,2
2868-SNELZ,2,0,4,7,11.24,2,1,5,2,0
4322-RCYMT,8,3,5,60,6.25,2,2,3,0,4
6680-NENYN,4,3,4,17,8.21,3,2,2,3,2
2088-IEBAU,3,1,10,3,11.23,4,1,5,0,1
7982-VCELR,2,1,5,4,8.83,4,1,4,2,1
1343-EHPYB,7,1,13,8,7.64,5,1,1,1,1
6035-BXTTY,4,0,12,7,6.82,1,1,6,0,1
6885-PKOAM,1,0,12,34,3.42,3,1,5,3,1
7520-HQWJU,1,1,7,13,7.84,3,1,5,1,2
9639-BUJXT,2,1,12,29,8.04,0,0,6,3,0
5924-SNGKP,1,1,12,17,7.77,0,1,2,0,0
0021-IKXGC,5,1,15,1,5.82,0,1,6,0,0
2034-GDRCN,1,1,3,55,13.47,2,0,4,2,3
8966-SNIZF,4,2,12,6,6.65,2,3,6,0,1
6243-OZGFH,3,2,15,39,3.26,2,2,5,0,1
4654-DLAMQ,3,0,10,47,7.84,2,2,7,3,0
0513-RBGPE,4,0,14,12,9.68,1,1,4,0,1
5160-UXJED,7,2,11,1,10.9,2,2,5,1,3
4115-NZRKS,2,0,12,37,2.63,2,4,7,0,1
0219-YTZUE,2,1,2,11,8.25,2,3,2,1,1
0623-IIHUG,3,0,7,21,9.18,2,2,3,2,0
4572-DVCGN,14,6,6,90,10.24,1,3,3,2,0
3351-NGXYI,8,1,4,8,5.37,4,2,6,1,2
8984-EYLLL,2,0,10,53,8.8,2,1,9,0,0
9057-MSWCO,4,1,8,68,11.7,4,1,4,2,0
9833-TGFHX,2,1,17,32,5.8,2,1,5,2,1
9294-TDIPC,3,0,7,36,7.54,3,0,6,0,1
5229-DTFYB,5,1,11,23,9.25,1,3,2,1,3
0104-PPXDV,2,0,12,31,11.11,0,2,7,2,0
5176-LMJXE,3,0,16,7,8.66,5,4,10,1,2
3583-KRKMD,2,0,4,16,6.84,3,4,8,0,2
1010-DIAUQ,4,0,5,90,10.85,3,4,4,2,1
9069-LGEUL,3,1,6,0,6.79,1,2,4,1,0
7302-ZHMHP,1,0,10,5,5.81,0,0,5,0,0
9571-EDEBV,1,0,14,2,8.4,1,1,5,2,1
3520-FJGCV,3,2,14,1,8.7,0,0,5,1,0
6563-VRERX,4,1,8,19,7.15,1,2,5,2,2
0259-GBZSH,2,0,6,62,11.95,2,2,2,1,2
6122-EFVKN,2,0,13,30,7.07,1,1,4,1,1
2805-EDJPQ,4,0,7,69,7.61,1,3,3,4,0
6862-CQUMB,1,0,9,90,8.52,0,1,5,3,3
7156-MXBJE,2,1,9,31,8.9,2,3,6,1,2
6158-HDPXZ,3,0,13,39,5.78,1,1,6,2,0
9601-BRXPO,5,1,9,3,13.57,3,2,6,1,0
2863-IMQDR,4,2,10,34,9.41,1,3,6,2,1
5686-CMAWK,2,0,17,6,7.51,1,1,7,0,1
5651-CRHKQ,4,0,9,29,7.53,4,2,3,2,1
6905-NIQIN,6,4,5,77,9.77,0,3,2,2,2
8204-YJCLA,2,0,15,0,9.22,1,0,6,0,0
5167-ZFFMM,4,2,6,90,11.77,3,3,3,1,0
6583-SZVGP,2,0,15,17,7.83,1,1,4,2,0
4895-TMWIR,1,1,8,31,14.81,3,0,5,3,0
0533-BNWKF,5,3,10,65,11.11,6,2,5,2,1
1708-PBBOA,1,0,10,6,5.82,3,1,4,0,1
8782-LKFPK,4,3,6,60,9.46,3,1,4,2,0
5522-JBWMO,2,0,9,41,8.29,2,2,4,3,2
3597-MVHJT,2,1,11,1,9.5,5,4,5,1,1
9774-NRNAU,3,1,11,52,9.26,0,1,7,1,2
0224-RLWWD,5,0,12,11,8.09,2,3,4,1,3
9967-ATRFS,2,1,13,7,9.81,2,0,5,2,2
3951-NJCVI,1,0,2,28,5.09,5,2,0,1,0
2977-CEBSX,6,1,13,20,8.06,0,1,8,0,0
0177-PXBAT,4,1,9,48,9.47,2,4,5,4,0
6599-CEBNN,3,1,3,90,7.23,4,4,4,2,4
2519-ERQOJ,7,3,7,29,8.42,1,2,5,3,2
5876-QMYLD,2,1,15,18,5.51,5,0,6,1,0
2277-AXSDC,0,0,7,22,6.2,2,1,4,4,2
9442-JTWDL,2,1,7,9,9.2,1,3,4,0,1
0979-PHULV,3,0,6,42,7.85,5,1,0,5,2
3067-SVMTC,5,4,15,8,6.36,1,0,9,0,1
5495-GPSRW,7,3,14,7,5.63,4,2,7,1,0
7606-BPHHN,2,1,16,36,7.31,1,1,8,2,0
4742-DRORA,1,1,9,5,7.96,2,4,5,1,1
0111-KLBQG,6,1,8,2,5.79,2,2,6,2,2
4800-VHZKI,2,0,5,90,9.08,2,1,2,2,1
7989-CHGTL,4,2,5,79,9.44,2,1,5,2,3
0334-GDDSO,4,0,4,38,10.1,4,5,3,2,2
4163-NCJAK,7,1,15,8,7.83,0,0,6,0,1
5233-AOZUF,6,1,5,25,5.87,6,1,4,0,0
5973-EJGDP,4,2,6,20,7.54,0,1,4,0,1
1996-DBMUS,4,1,18,7,10.42,0,3,3,1,1
7916-VCCPB,2,0,14,29,9.61,2,2,2,0,1
4686-GEFRM,3,1,10,6,5.93,3,3,4,1,0
5249-QYHEX,1,0,10,22,7.58,4,4,6,2,2
0578-SKVMF,4,1,6,15,10.74,3,3,3,2,4
5564-NEMQO,4,1,7,14,11.72,4,3,2,3,3
2233-FAGXV,5,0,15,10,8.4,3,0,10,1,0
5605-IYGFG,5,1,11,20,8.39,4,2,5,3,0
7663-ZTEGJ,4,0,8,35,8.03,2,0,8,1,0
3935-TBRZZ,2,0,9,44,6.44,1,1,3,0,0
8111-BKVDS,3,0,10,1,4.08,0,2,1,0,2
2055-SIFSS,7,2,12,6,6.44,0,2,8,3,1
2806-MLNTI,3,2,11,10,10.37,2,0,5,1,1
8734-DKSTZ,3,0,5,0,10.56,1,0,5,1,3
4360-PNRQB,4,0,10,3,7.22,0,2,6,2,1
6152-ONASV,3,0,18,38,6.74,1,1,3,0,0
9063-ZGTUY,2,0,4,3,8.32,3,4,4,1,2
7781-HVGMK,2,0,12,42,5.52,3,1,7,1,0
2181-UAESM,4,1,9,11,9.77,2,1,2,4,2
2957-LOLHO,4,2,3,2,9.14,1,4,3,1,1
6048-NJXHX,5,2,14,11,8.41,1,3,6,2,0
2320-SLKMB,2,1,10,0,12.14,1,2,4,1,1
4980-URKXC,1,1,14,0,7.07,4,2,7,0,1
4376-KFVRS,1,0,12,74,5.23,0,3,5,2,0
5886-VLQVU,4,0,6,29,9.31,1,2,2,1,1
3577-AMVUX,1,0,14,90,10.09,4,1,5,1,3
0771-WLCLA,2,1,13,44,4.18,1,3,6,1,0
5628-RKIFK,8,3,8,3,10.58,4,1,7,3,2
0206-TBWLC,3,1,13,34,5.75,4,1,8,3,3
2937-FTHUR,3,3,12,18,11.69,2,1,2,2,0
